,uri,rank,date
0,3hvakqVpwaz4L7zN5HfTCY,1.0,1960-01-02 00:00:00
1,4f8hBeMXMvssn6HtFAtblo,1.0,1960-01-16 00:00:00
2,1XRXD6RmgxtySaKbrVBfzk,3.0,1960-01-09 00:00:00
3,22TgqnP9tyLU8i0eZnbuMR,4.0,1960-01-02 00:00:00
4,6TdAcAgVw7Z8pzU2KswtvH,3.0,1960-01-16 00:00:00
5,4aYUrQq86T6IxgtyFMSklm,6.0,1960-01-09 00:00:00
6,0RTkpGULCWBGHFbJptu3RQ,7.0,1960-01-02 00:00:00
7,0YTgZJfVLmJ0b8XAMZKRKg,8.0,1960-01-02 00:00:00
8,7ys96QOZfHlSeXVQ2RgPTH,9.0,1960-01-02 00:00:00
9,58KvzPxBk7iakPHKKs2tDw,9.0,1960-01-30 00:00:00
10,60DbxCJXFG9ZryHHvUPTXG,1.0,1960-02-06 00:00:00
11,1wVCmVpQLSVj12vs956rwf,11.0,1960-01-09 00:00:00
12,1BogZ2vCN97dA7dYvTYeou,13.0,1960-01-02 00:00:00
13,0TBGCMRaBJRvQaJqtblXJb,14.0,1960-01-09 00:00:00
14,6BurjcMgLHYgmar79fVwtM,15.0,1960-01-02 00:00:00
15,3t9WLlI46YJsbjhB0Na76s,15.0,1960-01-30 00:00:00
16,4lU6JtIlPiHNZSCu9rvUjx,17.0,1960-01-02 00:00:00
17,1v3J8TJU6Z9l1BcPpb77sl,5.0,1960-02-06 00:00:00
18,06MJnoTGXl1gPdK34yt5VW,19.0,1960-01-02 00:00:00
19,3yIBU17cLkuB8tKMymOLvX,20.0,1960-01-02 00:00:00
20,6bnFjTW3EnMG4BwreDnSHK,21.0,1960-01-02 00:00:00
21,4PDer7zvmeSXrXwDx8dU1G,17.0,1960-01-23 00:00:00
22,3Vumfl7U0v6EjLZoFvDTfe,23.0,1960-01-02 00:00:00
23,6vJOIceKD99L4Z2jyOE1m7,24.0,1960-01-02 00:00:00
24,53qd0miI6a2VLmEKRVJlB3,25.0,1960-01-16 00:00:00
25,1d4zMkLqBRC12BSWZNfa5G,10.0,1960-02-13 00:00:00
26,4rfsoxXk3XoAdQ60BdJ3Bj,7.0,1960-01-30 00:00:00
27,4EWa1mBeFQhgo6AhHcENmq,20.0,1960-01-16 00:00:00
28,60LftLapil6dgJfX0JfoF8,27.0,1960-01-09 00:00:00
29,3iHZFMWwDQgi0vYovGnUVM,16.0,1960-01-16 00:00:00
30,7tmOoUPbnsMq3M6U6qlvhZ,31.0,1960-01-09 00:00:00
31,5usIkLgEa8CEYlbsyMFaIM,32.0,1960-01-02 00:00:00
32,5qMk6VfKsHjqAVVPaxqbLv,33.0,1960-01-02 00:00:00
33,0nZwl7x0yzn9rU2qp3mAad,34.0,1960-01-02 00:00:00
34,1Kc1TMMmFrGRuI0wUlNyr8,35.0,1960-01-02 00:00:00
35,6M45qjEEjY1FQX9w2w02ei,36.0,1960-01-02 00:00:00
36,5673naYx3ooBYQnJF9QzzL,37.0,1960-01-02 00:00:00
37,0gHmuti3B9UhieDRmFIhGP,33.0,1962-12-29 00:00:00
38,7fkkkHsm3vRaquDzh3RDLI,39.0,1960-01-02 00:00:00
39,5P439LLMj3gXyf0L9c5PHD,32.0,1960-01-16 00:00:00
40,7GvhZ0F7cMBwpv7QzeGABf,1.0,1960-02-27 00:00:00
41,7EYABim92yFupeV1jufnAs,31.0,1960-01-30 00:00:00
42,3nCheE8HdpEvdq4YL85Zsq,35.0,1960-01-09 00:00:00
43,7DH5dXVuQaqcKf9oTy9oUN,1.0,1960-03-26 00:00:00
